,text,sentiment
80,lolhayley the purpose of the military is to kill people and break things something an actual man running for president just said ,Negative
81,wondering if i could get the republican pay to pay for my liver transplant after playing mtaibbi gopdebate drinking game last night ,Negative
82,brandondhowell great way to sta friday carlyfiorina carlyfiorina gopdebate ,Positive
83,tedcruz if elected on my first day as president ill rescind every illegal and unconstitutional executive order enacted by pres oba ,Positive
86,theyre all todd akin now how the planned parenthood sting backfired on republicans gopdebate standwithpp ,Negative
87,learjetter hey foxnews let republicans digest gopdebate before allowing crazy dwstweets to trash our gop ladysandersfarm ,Negative
88,thebaxterbean watch donald trump receive enormous applause for horribly misogynistic gopdebate answer ,Negative
90,even though shes a super conservative repoer i actually like megyn kellys interview style amp she did great at the gopdebate ,Positive
91,kingsthings the gopdebate is not a debate at all its a series of 1 minute oppounities to avoid answering a question one candidate ,Negative
92,melissagracey credit for this joke goes to someone else but it is funny gopdebate ,Positive
93,reince simply incredible last nights gopdebate doubled the previous record for mostwatched primary debate i ,Positive
94,katethomas this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover ,Negative
95,fldreamer haha a little saas from voxdotcom this morning towards realdonaldtrump factchecked gopdebate ,Negative
97,zellieimani what people saw in person vs what we saw on tv gopdebate ,Negative
98,thebaxterbean marco rubio told to his face hes candidate of yesterday for his antigay bigotry gopdebate ht ,Negative
99,cariisie none of them have made trump look out of place or foolish yet think about that when youre done crying think about it agai ,Negative
101,had a great time watching the gopdebate last night ,Positive
102,jrehling gopdebate donald trump says that he doesnt have time for political correctness how does calling women fat pigs save him ,Negative
103,theonlyadult this is the potus we have now one of the people on tv now might be the next one rip everything gopdebate ,Negative
105,kirahoffy foxnews web stream and mobile app fail during gopdebate why am i not surprised ,Negative
106,johnkasich john kasich helped ohioans create 350000 new jobs he can do it for america gopdebate ,Positive
107,please help the maryknoll sisters replace windows in their convent catholic gofundme trcot gopdebate ,Positive
109,trump just said jebbush is a true gentleman amp then they staed violently 69ing gopdebate ,Negative
110,cameronesposito ugh will these guys ever shut up about how much they respect women gopdebate ,Negative
111,snarkydemo what did the gopdebate teach us about a future president trump america probably wont be safe except if were attacked ,Negative
112,congoboy this is going to be a long tiring election season shockingly illinformed candidates at gopdebate ,Negative
115,mattyiceaz scott walker cant even carry his own state gopdebate ,Negative
116,xlnb black people if you need anymore indication why republicans hate us peep this gopdebate ,Negative
117,smethanie sure god told me i should run and the tooth fairy agreed and all the teletubbies voted yes so here i am gopdebate ,Negative
118,palmaceiahome1 trump should have told megyn kelly to go to hell foxnews gopdebate ,Negative
119,palmaceiahome1 caller on the rush limbaugh showi have lost all respect for fox news foxnews gopdebate ,Negative
120,realdonaldtrump stingerinc realdonaldtrump megynkellys behaviour at the gopdebate was astonishingly biased ,Negative
121,republicans debate economics rubio wins bush falters huckabee exaggerates gopdebate knowmorenotless gpnaplang ,Positive
122,jamesviser huh half of clintons charity went tothe clintons copolitics hillary2016 stophillary uniteb ,Negative
123,kraig4u gopdebate the order was to take out trump but i wonder if fox news was the one who took the order seriously heidilrn ,Negative
125,amymek we all owe realdonaldtrump a huge thank you 4 exposing to the worldmegynkelly chris wallace amp frankluntz are true rhinos ,Negative
126,thebaxterbean scott walker lies says wi budget has 535m surplus actually has 176b deficit gopdebate ,Negative
127,youre right last i heard sensanders was that only women could give bih to s child has that changed gopdebate ,Positive
129,frankconniff fox news gopdebate interviewer to candidates whats your take on these gop talking points im feeding you ,Negative
130,lesliemac but the murder of black ppl is just fine just not unborn black babies goplogic gopdebate ,Negative
132,charlottelaws chris christie is really standing out at the gopdebate ,Positive
133,libeyjibbet hey realdonaldtrump you know who didnt whine about unfair questions carlyfiorina grow a set why dont ya gopde ,Positive
134,you cant be prolife and have watched that 2 hour aboion last night gopdebate forkedtongue iseeorangepeople ,Negative
135,danscavino megynkelly you failed the american people tonight you tried to make history by destroying realdonaldtrump kellyfai ,Negative
136,edstetzer btw when you mix politics and religion you get politics gopdebate ,Negative
137,teammarco marco nailed it on aboion we must protect life gopdebate ,Positive
138,megynkelly bretbaier foxnews wtf was up with chris wallace attacking trump2016 on bankruptcy then giving rubio a softball gopdebate ,Negative
139,they obviously didnt get the memo about seersuckehursday gopdebate ,Negative
140,vh1 honestly donald trump you were all types of petty at last nights gopdebate gt ,Negative
141,tuxcedocat all republican dopefuls who say theyll take us back to 2009 on day one will never see one day in white house gopdebate ,Negative
142,trump gloating abt buying gopdem pols ampthem doing his bidding is my 2000s billionaire caricature myacash gopdebate ,Negative
143,peddoc63 go carly go carly go carly carlyfiorina carly2016 gopdebate flyoverculture leahr77 steph93065 maydnusa ,Positive
144,daenerys listening to the gopdebate like ,Negative
145,scorpionspriest best moment of the gopdebate last night rand telling christie to go get another hug from obama ,Positive
146,johnfugelsang if you missed either gopdebate all you need to know is theres no for struggling americans and unlimited for war ,Negative
147,pfikac jebbush we are on the verge of the greatest time to be alive in this world but washington is holding us back mysa txlege ,Negative
148,drmayfox trump wins drudge debate poll by a landslide tedcruz 2 gopdebate pjnet ,Negative
149,siteroi governorperry fights back against what will you do abt immigration q says border is porous and that must be fixed first ,Positive
150,summary is the gopdebate status quo shit show ,Negative
151,thepatriot143 debbie blocks tweeter who questioned dem debate schedule gopdebate dwstweets ,Negative
152,sallykohn hey look its 10 men standing on a stage arguing why they should get to control womens bodies and choices gopdebate ,Negative
154,chrisjzullo last night at the gopdebate all i saw was a bunch of rich and old despots with zero solutions to our nations problems un ,Negative
156,rfhkerry if you think any of these people are qualifiedunfollow me gopdebate ,Negative
158,whos the real illegal alien gopdebate farrakhan on immigration the mexican bor via youtube ,Negative
159,gopdebate the talking heads put on the debate now the talking heads are telling us how the debates went maybe we wasted our time watching ,Negative
161,trump is right about megynkelly but really needs to study matthew 7 verses 35 gopdebate ,Positive
164,maureenjohnson where do you think women should sleep when they have the curse the shed or in an open field not on your propey ,Negative
165,i think gods a pretty fair guy ben carson neurosurgeon on his belief modern day taxation should be based on an ancient book gopdebate ,Negative
166,nancyleegrahn the cheers from gopdebate audience afterump defiantly named rosie as the woman he called fat pig were the voices ,Negative
167,blacklives dont matter apparently to republican candidates for president or to foxnews uniteblue gopdebate ,Negative
168,overall the main thing we learned from the gopdebate is that only straight white men matter ,Negative
169,usfree4life i thought seanhannity had the best post gopdebate interviews of the night gave them all a chance 2straighten their position ,Positive
170,johnkasich hey realdonaldtrump if youre still looking to chip in check out gopdebate ,Negative
171,megynkelly bretbaier chriswallace america is criticizing ur performances during gopdebate bc u did a really bad job as moderators ,Negative
172,govmikehuckabee luntz as the lines go up they almost reach 100 it almost never happens in the dial research we do gopdebate rigged ,Negative
173,oftenimprudent i wish we could teach teenage girls to love themselves as much as donald trump loves himself gopdebate ,Negative
174,amymek conservatives are a people without a network gopdebate foxnews ,Negative
175,bhowl how come theres no talk about climate change has anyone here even seen california right now gopdebate debatewithbernie ,Negative
177,chrisjzullo last night they could have have raised their hands im a spoiled billionaire im an oligarch im a racist im a religi ,Negative
178,gopdebate 2016 teamdrbencarson realbencarson wow brilliant cool calm amp collectedempowering ,Positive
180,benjamminwalker under no circumstances should 10 men dictate aboion rights to women its the 21st century we are better than that ,Negative
181,danscavino gopdebate winner drudge 50 187k realdonaldtrump time 46 25k realdonaldtrump foxsd 49 realdonaldtrump ,Positive
182,joeprich megynkelly in 2012 you chided candycrowley for going from objective moderator to active paicipant gopdebate ,Negative
183,gopdebate foxnews realdonaldtrump in1996 you called billclinton a two timing slut do you stand by that statement ,Negative
184,renomarky never watch kellyfile again 1 gopdebate questions 2 pandering to dwstweets 3 making it about ratings not ,Negative
185,imho gopdebate winners marcorubio kasich donaldtrump losers scottwalker randpaul bencarson all others were completely forgettable ,Positive
186,johnkasich smaller govt ohio government payroll is smaller than its been in 3 decades gopdebate ,Positive
188,jebbush challenging the teachers unions and beating them is the way to go jeb gopdebate ,Negative
190,theblaze the real war on womenrealdonaldtrump megynkelly rushlimbaugh gopdebate anncoulter ,Negative
194,allthingsflynn this trump vs fox news conflict is quite the conundrum its like the personification of greed vs hate who do i root ,Negative
195,carlyfiorina i know how extraordinary this nation is gopdebate ,Positive
196,laxnoreos meanwhile in the white house gopdebate ,Negative
197,rubio still my preference but i can see point of his critics over oppounism inconsistency gopdebate ,Positive
198,did realdonaldtrump ever tell megynkelly to go wait in the car her bad attitude suggests it waronwomen gopdebate ,Positive
199,thetexasphoenix he was on fire governorperrys on fire debate performance gopdebate perry2016 ,Positive
201,realdonaldtrump frankluntz im getting a lot of megynkelly hatemail tonight gopdebate she is totally overrated and angry she ,Negative
202,this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover robinmay ,Negative
203,jonvoyage was half as long as the gopdebate but twice as intelligible ,Negative
204,lisabloom not a single question in last nights gopdebate about the most urgent issue of our time climate change ,Negative
205,gopdebate what was up with foxnews amp their gotcha questions they seemed designed to elicit typical political spin responses tlot ,Negative
206,after the gopdebate all of the promises being made by staups at this tech conference seem quite reasonable ,Positive
207,royrogers knuckldraginsam gop realdonaldtrump yobynnad1127 amen trump2016 wakeupamerica gopdebate tcot stoprush ,Negative
209,zzcrane me watching the donald trump bandwagon pass tlot tcot gopdebate ,Negative
210,deray before the gopdebate began didnt the moderators say that 8 million ppl were discussing racial issues what happened to thos ,Negative
211,feministabulous theres nothing like listening to ten dudes who will never need an aboion talk about whether i should have a right ,Negative
212,senwhitehouse fox silenced by koch billions too not a single question at last nights gopdebate to climatechange deniers about mond ,Negative
213,tyriquex these republicans are rich they dont care about the povey of america amp they definitely dont care bout the povey of bla ,Negative
215,catching up on my gopdebate lindseygrahamsc what a childish amp cheap move to call out billclinton amp hillaryclinton on a 17 year old story ,Negative
217,kesgardner all ted cruz does is attack other republicans gopdebate ,Negative
218,governorperry icymi not just no but hell no to the irandeal gopdebate perry2016 tcot ,Negative
220,larhunter if donald trump wins the election then well know were on the biffstolethealmanac timeline gopdebate ,Negative
222,cenkuygur chris christie just said you have to work two more years before retiringand that youll get tens of thousands less you paid ,Negative
223,johnkasich john kasich is ready to lead join the team claire gopdebate ,Positive
224,edwrather the biggest losers in the debate were the fox moderators who attacked instead of moderating gopdebate ,Negative
225,whitneyneal trump has yet to give a single evidencebased answer to a direct question about policy that should frighten you gopdeb ,Negative
227,blkfeminst i honestly think sometimes these guys forgot they came from wombs too kkkorgop gopdebate ,Negative
228,grneyedmandy women who shame other women for having aboions deserve to be shamed for having no soul or self respect plannedparen ,Negative
230,icaruspundit donald trumps closing statement is every dinner conversation had at the villages ever gopdebate ,Negative
231,thexclass when the rich wage war its the poor who die jeanpaul sare this is now gop foreign policy gopdebate ,Negative
232,at the gopdebate we saw the candidates completely miss the mark on race amp blacklivesmatter ,Negative
233,seabassthephish so to the gop for being proud of defeating teachers union even though they just wanted higher wages gopdebate ,Negative
235,chucknellis foxnews you got that right gopdebate ,Negative
236,mrskimcam trump just said the us is stupid so lets vote him president wtf people gopdebate ,Negative
237,so excited for johnkasich gopdebate kasich4us republicandebate kasich2016 been waiting for 20 years ,Positive
239,hey look its my feelings about donald trump summed up in one gif gopdebate ,Negative
242,thebaxterbean marco rubio briefly backed immigration reform then privately berated dreamers gopdebate ,Negative
243,damienfahey i frenchkissed jesus christ every candidate gopdebate ,Negative
244,gopdebate closingstatements govmikehuckabee just be honest u were defs talking about realdonaldtrump coz hes stealing ur schtick ,Negative
245,when cnn msnbc and the new york times praise fox moderators then you know the moderators fucked up gopdebate ,Negative
246,kesgardner trump is a lunatic gopdebate ,Negative
247,cruz has class amp truth that gets my vote gopdebate ,Positive
248,kesgardner assclown im the only reason anyone is even talking about illegal immigration keep digging donald gopdebate ,Negative
249,berniesanders tom hanks finally somebody who makes some sense gopdebate debatewithbernie ,Positive
250,southernhomo olivia pope would not vote for any of these guys gopdebate ,Negative
251,all gop candidates want to reduce taxes while huckabee wants to legalize prostitution and drugs so we can tax it gopdebate ,Negative
252,kesgardner hi fox panel can you just ask donald every single question hand him a shovel while youre at it so he can keep digging ,Negative
254,gopdebate trump is breaking records so what hes not a polished politician makes me love him even more ,Positive
255,berniesanders oh it was just a movie trailer gopdebate debatewithbernie ,Negative
256,tacticaldissent so sally kohn amp debbie wasserman schultz both praising megyn kelly tonight that should tell you everything you need ,Negative
257,why are all the trump accessory women wearing the same shoes gopdebate ,Negative
259,and donald trump is an absolute nut so enteaining lol gopdebate ,Negative
260,thehill top gop pundits pick their gopdebate winners winnersfox news losersusa ,Negative
261,dykstradame candidates went after hillaryclinton 32 times in the gopdebatebut remained silent about the issues that affect us ,Negative
262,danscavino megynkelly trying 2show up realdonaldtrump w foxnews trying 2take him down trying 2destroy him not happening kelly ,Negative
263,gov mosttweeted gopdebate moment for realbencarson saying he wouldnt publicize to the world his answer on waterboarding ,Negative
264,i give him a e for his big ego gopdebate as are earned for excellence rhymes with rump ,Negative
265,passion of the gopdebate religiousupamovie ,Positive
266,nro marcorubio got the best reviews and deserved them read more of our nreditorial recap of the gopdebate gt ,Positive
268,kesgardner brutal question to the assclown from megan kelly the lesson here be careful what you tweet on twitter gopdebate ,Positive
270,trump changed his mind on suppoing paial bih aboion because a friend changed their mind on aboing amp had a great kid gopdebate ,Negative
271,best closing statement realbencarson gopdebate ,Positive
272,chrischristie we have to stop worrying about being loved amp sta worrying about being respected tellingitlikeitis gopdebate ,Positive
273,lesleyabravanel trump sycophants want to know what megynkellys hidden agenda was last night answer is simple its called a vagin ,Negative
275,donald trump is a really nasty piece of work hope he disappears quickly gopdebate ,Negative
276,amaraconda fetuses are not unborn babies they are clusters of cells stop shaming people who wanthave had aboions gopdebate ,Negative
277,mattkbh these were far and away the best tweets of last night debatewithbernie gopdebate ,Positive
279,pattonoswalt despite what huckabee says i always make sure my prostitute and her pimp pay fica and pension gopdebate ,Negative
281,foxnews did great by challenging the candidates in gopdebate if these candidates cant handle a tough question they could never b potus ,Positive
282,kmcq id say it was the opposite megan kelly acted like some sjw on tumblr whining about feminism very sad gopdebate ,Negative
283,conssista rightly so frank rightly so gopdebate ,Positive
284,the number of times that ronald reagan is mentioned in the gopdebate is too damn high ,Negative
285,pattonoswalt if trump is against pc culture im suddenly 100 for it not even kidding what a howling shitcave of a human gop ,Negative
286,carljacksonshow bencarson great close he operates on brains so he doesnt worry about skin color gopdebate ,Positive
287,davanter women that would be offended by trumps misogyny most ceainly dont vote republican find a new fake issue faux news ,Negative
288,auntcol54 keep religion out of politics gopdebate ,Negative
290,wilw boy i bet the mood in the clown car is going to be tense when these jerks leave the gopdebate ,Negative
291,campeauelliot dr ben carson did a great job tonight loved your closing statement realbencarson gopdebate ,Positive
293,foxnewspolitics behind the fox debate how the anchors hashed out the questions gopdebate they failed ,Negative
294,did anyone get trashed playing rollingstones gopdebate drinking game drinkinggame ,Negative
295,if donaldtrump donates to uhe can call in a favor years later sounds like thegodfather not potus thats legal gopdebate gopclowncar ,Negative
296,jediane9 ugh to think there were actually people sitting on their couch last night saying yes yes this is reasonable gopdebate ,Negative
298,kesgardner if politics can be even paially rational trumps campaign for the gop nomination just ended gopdebate ,Negative
300,chrisjzullo scott walker chooses killing mother rather than aboing unborn embryo this is reason other countries give us that funny ,Negative
301,cant uniteblue aboion is a talking point in the gopdebate since ppsellsbabypas ,Negative
302,kmcq closing statements reminisce about an america that no longer exists after ted kennedys 1965 immigration and nationality act g ,Negative
304,maureenjohnson ted cruz is going to personally take away your telescope and try you as a witch gopdebate ,Negative
305,realdonaldtrump you killed it last night at the gopdebate glad to have some that cares for america makeamericagreatagain ,Positive
306,youngblkrepub when the gopdebate is more exciting than anything else on tv in the past 10 years ,Positive
307,abbijacobson shiiiittt its tough to say who is making me more horny gopdebate ,Positive
309,bullriders1 olivianuzzi daveweigel the gopdebate was better than i thought itd be though candidates finessed issues with sound bytes ,Positive
310,thebaxterbean yes marco rubio actually said the iraq invasion was not a mistake gopdebate ,Negative
311,thebaxterbean marco rubio voted against unemployment benefits even though florida needs them most gopdebate ht ,Negative
312,jebbush was so thoughtful in gopdebate rethink911 ,Positive
313,thejimhughes there will be a lot of jobs available if bush serves 2 terms because most conservatives will have committed suicide go ,Negative
314,huh watching foxnews debate 1 and so far the moderators and the paicipants are better gopdebate ,Positive
315,3chicspolitico donald trump insulted megynkelly and all women and not one man on stage confronted him none of them are wohy to be ,Negative
316,jjauthor learjetter i was waiting for megynkelly to ask realdonaldtrump when did you stop beating your wife gopdebate ,Negative
317,andreatantaros about last night are you watching outnumberedfnc we got ericbolling and all the good stuff from the gopdebate on ,Negative
318,renomarky eah to megynkelly this aint about you gopdebate foxdebate megynkelly megynkellydebatequestions ,Negative
322,fff highlights from this week include nationalunderwearday the gopdebate and jonvoyage officially the worst week ever tgif ,Negative
324,kesgardner of course the assclown wont pledge not to run as a third pay candidate gopdebate ,Negative
325,paul krugman sums up what happended last night one of our two major paies has gone off the deep end gopdebate ,Negative
326,eqphoto just remember no matter wins the gopdebate everyone who watched it loses alcoholpoisoning ,Negative
327,anthonymarlowe trump video it cost 4 times more than the 700m it wouldve if it were being managed by realdonaldtrump gopdebate h ,Negative
328,megynkelly you disgraced yourself last night gopdebate ,Negative
329,proginosko prediction in the final gopdebate donald trump will tear off his missionimpossible mask to reveal a smirking jon stewa ,Negative
330,fallon to jon stewa please come back i cant do it alone gopdebate politics ,Positive
332,kesgardner ted cruz is angling himself to be a slightly less loony version of donald trump gopdebate ,Negative
333,meet the new darling of the left megyn gotcha kelly gopdebate foxnews donaldtrump megynkelly ,Negative
334,toddstarnes that aboion question disgusting gopdebate ,Negative
335,nytimes and cnn praised foxnews and they thought they did a good job gopdebate not a good thing ,Negative
338,gopdebate a lesson for coming months quality and not quantity in words amp time for tangible and believable propsals ,Negative
339,when cnn and the new york times are praising the foxnews moderators you know they did it completely wrong gopdebate ,Negative
342,megynkelly displayed utmost authority at foxnews gopdebate critic says ,Positive
343,tusk81 not one candidate spoke up against trumps massdepoation plan amp not one condemned his racist comments latinos wont forget ,Negative
344,donald is my hero gopdebate ,Positive
345,gerryduggan the kryptonian science council was more worried about climate change than these scary people gopdebate ,Negative
346,withholding my very valuable presidential endorsement until i hear about everyones point of view on the 2nd amendment gopdebate ,Negative
348,mikedrucker ronald reagan never had an aboion with isis and women dont need them either basically everyone tonight gopdebate ,Negative
351,chrischristie won the gopdebate last night only candidate who answered questions directly and not afraid to take on tough issues ,Positive
353,govmikehuckabee fredbarnes weeklystandard mike huckabee was the star of the luntz focus group show when he spoke the feedback ,Positive
354,watching the primetime gopdebate this afternoon i think bencarson2016 was the real winner quiet but effective ,Positive
356,jackiepepper jeb is giving me some serious janet reno tonight gopdebate ,Negative
357,boomers r sma they know how to use internet for gopdebate cosproject jpnet ,Negative
358,govmikehuckabee re china you deal with a playground bully by punching them in the face amp putting them on the ground bc they only res ,Negative
359,ali lots of republicans in my facebook and twitter timelines are ticked at fox news for running that hatchet job of a debate gopdeba ,Negative
360,i wont defend foxnews they were far from fair or balanced last night but name calling is juvenile gopdebate ,Negative
361,catholiclisa hats off to ben carson for using the term useful idiots re hillary clinton and the secular progressive movement gopd ,Positive
362,megynkelly your fox team talked for 31 minutes of gopdebate while walker talked for 5 your obvious goal was to ambush everyone pathetic ,Negative
363,johnamato i actually agree with andreatantaros on something she said realdonaldtrump didnt hu himself in gopdebate and i concur ,Positive
364,donniewahlberg like ben carsons brain mike huckabees hea marco rubios soul chris christies fight john kasichs hope add carly fi ,Positive
367,dykstradame the gopdebate was like a super crappy cage fight of blustering bumbling old wrinkledup tuckus clinchers without the ca ,Negative
368,govmikehuckabee the military is not a social experiment the purpose of the military is to kill people and break things imwithhuck ,Negative
371,megynkelly gopdebate kelly is no role model doesnt speak for me or my prof friends rosie now a real woman carlyfiorina kelly is a poser ,Negative
372,donald trump whatajoke gopdebate ,Negative
373,funnyordie this feels like fox news tried to be the cool parents that let their kids have a pay amp now the house is on fire gopdeba ,Negative
374,patriotmom61 its unconscionable that foxnews moderators asked all the candidates except santorum foreign policyamp nat sec questions i ,Negative
376,crissghoul you are not pro life you are pro control you are pro religion you are pro you this is never about the mother gopdeba ,Negative
377,redstatejake solid debate tips take a gander gop gopdebate teapay tcot tlot icon ,Negative
378,johnkasich creating jobs is our greatest moral purpose because they strengthen our families amp communities gopdebate ,Positive
379,nevagphx1 carlyfiorina magnificent at the first gopdebate i suppo ted cruz as potus but would suppo you as running mate or pot ,Positive
380,if youre a woman who suppos r pay please wake up and get informed gopdebate ,Negative
381,kasich the clear standout among gopdebate cannon fodder but his record contradicts statements on lgbt acceptance ,Positive
383,the anti carlyfiorina unit of the clinton personal destruction force is now working 247 im sure gopdebate ,Negative
386,marmel my mother worked nobody gopdebate ,Negative
387,newswriter2 so we have americans getting beheaded overseas and megynkelly is worried whether realdonaldtrump calls rosie odonnell f ,Negative
388,gopdebate real american idol elections as auditions whose consent counts amp how decisions are made ,Negative
389,elections democracy and political debates as enteainment not a paicularly sterling quality of our federal republic gopdebate ,Negative
390,chrischristie randpaul americans fear not people who live in fear are not free and have no libey fear is unamerican gopdebate ,Negative
392,1216bj gopdebate carly fiorina dominates social media even beating out trump fox nation ,Positive
393,rachelmaina i wonder if the gopdebate will address actual solutions for climate change and clean energy debatewithbernie ,Negative
394,vivigold197 realdonaldtrump misogynist ignorant xenophobic and greedy another proof that money does not buy class gopdebate go ,Negative
396,immigrannacion jebbush gopdebate usa seriously would you vote for any of these clowns we need cirnow ainf tntvote ,Negative
397,waynedupreeshow disagree all you want gopdebate was hit job on realdonaldtrump and calculated mute job on sentedcruz realbencarso ,Positive
398,i actually agree with andreatantaros on something she said realdonaldtrump didnt hu himself in gopdebate and i concur ,Positive
400,govmikehuckabee lets take america from hope to higher ground will you help gt imwithhuck gopdebate ,Positive
401,ambeozer just got caught up on the gopdebate and felt like i should write a joke about it but the biggest joke of all was the whole ,Negative
402,joshcomers jeb makes me want to blow rails with w before we wreck his dads car gopdebate ,Negative
403,keep religion out of politics gopdebate ,Negative
405,what is chris cristie on about re aboions this is absurd gopdebate ,Negative
